Yetki Belgesi No,Yetki Belgesi Unvanı,Yetki Belgesi İli,Yetki Belgesi İlçe,Yetki Belgesi Adresi,Telefon,E-posta
OSGB-1591,BATI AKADEMİ İŞ SAĞLIĞI VE GÜVENLİĞİ DANIŞMANLIK EĞİTİM MADENCİLİK TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,KONYA,SELÇUKLU,MUSALLA BAĞLARI MAH. SEREN SOK. AÇELYA SİT. NO:1/A,3326019766,batiakademiosgb@gmail.com
OSGB-4951,BİS AKADEMİ ORTAK SAĞLIK GÜVENLİK BİRİMİ DANIŞMANLIK EĞİTİM HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BURSA,MUSTAFAKEMALPAŞA,HAMZABEY MAH. ÖZUZUN SOK. NO: 15,,
OSGB-4952,BİNGÖL UZMANLAR ORTAK SAĞLIK VE GÜVENLİK BİRİMİ EĞİTİM DANIŞMANLIK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,BİNGÖL,MERKEZ,KARŞIYAKA MAH. DAĞLAR CAD. NO: 10/A,5061805253,info@bingoluzmanlarosgb.com
OSGB-4954,RODOSTO ORTAK SAĞLIK GÜVENLİK BİRİMİ DANIŞMANLIK VE SANAYİ TİCARET LİMİTED ŞİRKETİ,TEKİRDAĞ,SÜLEYMANPAŞA,ORTACAMİ MAH. MAÇİN SOK. NO: 9B,2825022959,rodostoosgb@gmail.com
OSGB-4955,FORUMPLUS ORTAK SAĞLIK GÜVENLİK BİRİMİ LİMİTED ŞİRKETİ,DENİZLİ,MERKEZEFENDİ,BAHÇELİEVLER MAH. 3002 SOK. NO: 3/1 ,5394415498,info@forumplusosgb.tr
OSGB-4956,BY SİMA DANIŞMANLIK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,DİYARBAKIR,BAĞLAR,ŞEYH ŞAMİL MAH. 500/1. SOK. AZEL PRİME CENTER NO:6 İÇ KAPI NO:64,5062040982,by_afsin_21@hotmail.com
OSGB-4957,ALKIM GRUP İŞ SAĞLIĞI VE GÜVENLİĞİ HİZMETLERİ LİMİTED ŞİRKETİ,ANKARA,ETİMESGUT,BAĞLICA MAH. HİLAL CAD. NO:20CC ,,
OSGB-4958,OPAL ORTAK SAĞLIK GÜVENLİK BİRİMİ SANAYİ TİCARET LİMİTED ŞİRKETİ,SİVAS,MERKEZ,KILAVUZ MAH. EMİRPAŞA CAD. NO: 135A ,5438046303,mujgancicekk@gmail.com
OSGB-4959,PERA DİYARBAKIR İŞ SAĞLIĞI VE GÜVENLİĞİ ÖZEL SAĞLIK EĞİTİM DANIŞMANLIK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ ,DİYARBAKIR,YENİŞEHİR,FABRİKA MAH. ELAZIĞ BUL. NO:225/1 İÇ KAPI NO:32,,
OSGB-4961,YAPRAK İŞ SAĞLIĞI VE GÜVENLİĞİ HİZMETLERİ EĞİTİM DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ORDU,FATSA,MUSTAFAKEMALPAŞA MAH. ATA CAD. NO: 34A,5354115243,kadirsor@gmail.com
OSGB-4962,ÖZEL AKDENİZ LABORATUVARLARI SANAYİ TİCARET LİMİTED ŞİRKETİ,MERSİN,AKDENİZ,ÇAY MAH. CUMHURİYET BULVARI DIŞ KAPI NO: 27 İÇ KAPI NO: 9,5547949956,hakandogan99@gmail.com
OSGB-4963,TİMKA ORTAK SAĞLIK GÜVENLİK BİRİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ANKARA,ALTINDAĞ,HACI BAYRAM MAH. CELAL ATİK CAD. NO:8/3,,
OSGB-4964,	ÇAPAL ORTAK SAĞLIK VE GÜVENLİK BİRİMİ LİMİTED ŞİRKETİ,KOCAELİ,GEBZE,HACIHALİL MAH. 1205/2. SOK. NO: 3B,5353831548,info@capalosgb.com
OSGB-4965,BURSA İŞE GİRİŞ SAĞLIK RAPORU OSGB TAHLİL MERKEZİ EĞİTİM VE DANIŞMANLIK ANONİM ŞİRKETİ,BURSA,NİLÜFER,ÜÇEVLER MAH. ESRA SK. NO: 4A,2243220220,info@bigmerosgb.com.tr
OSGB-4966,FETİH BİRLİK ORTAK SAĞLIK GÜVENLİK BİRİMİ EĞİTİM DANIŞMANLIK TİCARET LİMİTED ŞİRKETİ,İSTANBUL,ESENLER,ORUÇREİS MAH. TEKSTİLKENT CAD. TEKSTİLKENT SİTESİ B04 BLOK NO: 10-AJ İÇ KAPI NO: 302,541 656 34 58,bilgi@fetihbirliikosgb.com
OSGB-4967,BİLGE İŞ SAĞLIĞI VE GÜVENLİĞİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,BATMAN,MERKEZ,KÜLTÜR MAH. 2606 SOK. YARDIMLAR İŞ MERKEZİ A BLOK NO:18/2,5333811218,bilgeosgb1@gmail.com
OSGB-4968,UZMAN PLUS ORTAK SAĞLIK GÜVENLİK BİRİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AFYONKARAHİSAR,MERKEZ,HATTAT KARAHİSAR MAH. MİLLİ BİRLİK CAD. NO: 114A ,5513470900,uzmanplus03@gmail.com
OSGB-4969,SEKİZ SAĞLIK KİMYA DIŞ TİCARET SANAYİ VE TİCARET LİMİTED ŞİRKETİ ESKİŞEHİR ŞUBESİ,ESKİŞEHİR,TEPEBAŞI,ULUÖNDER MAH. İSMET İNÖNÜ-2 BLV. NO:107/A ,,
OSGB-4970,MERSİN KILIÇ ORTAK SAĞLIK BİRİMİ EĞİTİM DANIŞMANLIK VE SANAYİ TİCARET LİMİTED ŞİRKETİ,MERSİN,YENİŞEHİR,BAHÇELİEVLER MAH. 1839 SOK. AKİL İŞ MERKEZİ NO: 22/19,5058864996,smtklc3327@hotmail.com
OSGB-4971,BULUT GRUP ORTAK SAĞLIK GÜVENLİK BİRİMİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSTANBUL,ATAŞEHİR,KÜÇÜKBAKKALKÖY MAH. HASANPAŞA SOK. KAZANÇ İŞHANI NO:17/1 ,5552615743,ufukakbul@hotmail.com
OSGB-4972,RED LİNE İŞ SAĞLIĞI VE GÜVENLİĞİ EĞİTİM SAĞLIK DANIŞMANLIK HİZMETLERİ LİMİTED ŞİRKETİ,MARDİN,KIZILTEPE,YENİKENT MAH. 4. CAD. F BLOK NO: 52E,,
OSGB-4974,AKER DANIŞMANLIK İŞ SAĞLIĞI VE GÜVENLİĞİ TİCARET LİMİTED ŞİRKETİ TOSB ŞUBESİ,KOCAELİ,ÇAYIROVA,TOSB OTOMOTİV (OSB) MAH. 1. CAD. NO: 10/1-B,,
OSGB-4975,SERKAN YAVAŞ İŞ SAĞLIĞI VE GÜVENLİĞİ EĞİTİM DANIŞMANLIK HİZMETLERİ TİCARET LİMİTED ŞİRKETİ,HATAY,DEFNE,SUBAŞI MAH. ATATÜRK 3 CAD. NO: 62B,,
OSGB-4976,CNK İŞ SAĞLIĞI GÜVENLİĞİ LİMİTED ŞİRKETİ,ANKARA,ÇANKAYA,TINAZTEPE MAH. AKYÜZ SOK NO:13/1,5536909600,celal.erginn@gmail.com
OSGB-4977,VİTA NOVA ORTAK SAĞLIK İŞ GÜVENLİĞİ DANIŞMANLIK HİZMETLERİ LİMİTED ŞİRKETİ,İSTANBUL,ARNAVUTKÖY,MUSTAFA KEMAL PAŞA MAH. 10. YIL CAD. NO:18A,5362172119,vitanovaosgb@gmail.com
OSGB-4979,NİSAN BİRLEŞİM ORTAK SAĞLIK GÜVENLİK BİRİMİ LİMİTED ŞİRKETİ,İSTANBUL,ESENLER,ORUÇREİS MAH. TEKSTİLKENT CAD. TEKSTİLKENT SİT. G2 BLOK NO: 10AD İÇ KAPI NO: 3091 ,,
OSGB-4980,YAPRAK ORTAK SAĞLIK GÜVENLİK BİRİMİ EĞİTİM HİZMETLERİ VE TİCARET LİMİTED ŞİRKETİ,ADANA,SEYHAN,YEŞİLOBA MAH. 46075 SOK. E BLOK NO:1/11,3224292900,yaprakosgb01@gmail.com
